"hh_id","kebele","woreda","zone","killil","dispute","land_red","age_head","f_head","edu_head","m_ad","f_ad","hh_size","n_plots","cert_rnd_two","cert_rnd_one","cert","ironroof2","mobile2","taperec2","radio2","sofa2","barrel2","cart2","plow2","jewelty2","townhouse2","wealth_score","credit_amt","credit"
"1","11","321","32","3",0,1,70,0,1,4,1,5,7,0,1,1,1,1,0,1,1,1,0,0,1,0,-0.811457197612068,0,0
"2","1","321","32","3",0,0,25,0,1,2,3,5,4,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.82744353445248,0,0
"3","232","211","21","2",0,0,46,0,1,1,2,8,3,0,1,1,1,1,0,0,0,1,0,1,1,1,-0.670256533979704,0,0
"4","232","211","21","2",0,1,57,1,0,0,1,2,3,0,1,1,1,1,1,0,0,1,0,0,1,1,-0.749635722583665,0,0
"9","232","211","21","2",0,0,35,0,1,1,1,2,3,0,1,1,1,1,1,0,0,0,0,1,1,1,-0.461232905280181,0,0
"10","232","211","21","2",1,0,29,0,0,1,1,4,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"11","232","211","21","2",0,1,45,0,1,1,1,3,2,0,1,1,1,0,0,0,0,0,0,1,0,1,0.673835485725114,0,0
"12","232","211","21","2",0,0,52,0,0,2,1,7,3,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"13","232","211","21","2",0,0,73,0,1,2,1,3,3,0,1,1,1,1,0,1,0,0,0,0,0,0,0.126471988942458,0,0
"15","232","211","21","2",0,0,37,0,0,1,1,5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1.06650978261119,0,0
"16","232","211","21","2",1,0,60,1,0,2,1,3,2,0,1,1,1,1,0,0,0,0,0,0,0,1,0.38065027840463,0,0
"17","232","211","21","2",1,0,38,0,1,1,1,5,2,0,1,1,1,1,0,0,0,0,0,1,1,0,-0.064342208526529,0,0
"18","232","211","21","2",0,0,50,0,1,3,1,6,4,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"21","236","211","21","2",0,0,65,1,0,1,1,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"22","236","211","21","2",0,1,68,0,0,2,1,8,5,0,1,1,1,0,0,1,0,0,0,1,0,0,0.419657196262942,0,0
"23","236","211","21","2",0,0,65,0,0,1,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"24","236","211","21","2",0,1,60,0,0,3,1,4,2,0,1,1,1,0,0,0,0,0,0,1,1,0,0.41964281637776,0,0
"26","236","211","21","2",0,0,30,0,0,1,1,3,3,0,0,0,1,1,0,0,0,0,0,1,1,0,-0.064342208526529,0,0
"27","236","211","21","2",1,0,35,0,1,2,1,6,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,14000,1
"28","236","211","21","2",0,1,50,1,0,0,1,3,3,0,1,1,1,1,0,0,0,1,0,0,0,0,0.0281593340832265,0,0
"29","236","211","21","2",0,1,60,0,0,2,1,5,2,0,1,1,1,1,1,0,0,1,0,1,1,0,-0.813723849601584,0,0
"30","236","211","21","2",0,0,76,0,0,1,2,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,7000,1
"31","236","211","21","2",0,1,45,0,1,3,1,6,3,0,1,1,1,0,0,1,0,0,0,1,0,1,0.292945505697056,0,0
"32","236","211","21","2",0,0,50,0,1,1,3,5,3,0,1,1,1,1,0,1,0,0,0,1,1,0,-0.445232188554587,0,0
"33","236","211","21","2",0,1,70,0,1,1,1,2,3,0,1,1,1,0,0,0,0,0,0,1,0,1,0.673835485725114,0,0
"34","236","211","21","2",0,0,65,0,0,1,1,2,5,0,1,1,1,0,0,1,0,0,0,1,0,0,0.419657196262942,0,0
"35","236","211","21","2",0,0,55,0,0,2,3,7,4,0,1,1,1,0,0,0,0,0,0,1,0,1,0.673835485725114,0,0
"36","236","211","21","2",0,0,56,0,0,2,3,7,2,0,1,1,1,1,0,0,0,1,0,1,0,1,-0.289352174066464,0,0
"37","236","211","21","2",0,1,73,0,0,1,1,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"40","236","211","21","2",0,0,75,0,0,2,0,3,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0.800547176291,0,0
"41","236","211","21","2",0,0,35,0,0,1,1,5,3,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,7000,1
"43","233","211","21","2",0,0,36,0,0,1,1,6,1,0,1,1,1,1,1,1,0,1,0,1,1,1,-1.32132552019553,0,0
"44","233","211","21","2",0,0,42,0,1,1,0,2,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0.0463831451989448,0,0
"45","233","211","21","2",0,0,42,1,1,2,1,6,4,0,1,1,1,1,1,1,0,1,0,1,1,0,-1.19461382962964,0,0
"46","233","211","21","2",0,0,79,0,0,1,1,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"47","233","211","21","2",0,0,33,1,0,0,1,4,2,0,1,1,1,1,0,0,0,0,0,1,0,1,0.189850460820825,0,0
"48","233","211","21","2",0,1,60,0,0,3,2,9,3,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"50","233","211","21","2",1,1,55,1,0,2,1,3,2,0,1,1,1,1,0,0,0,0,0,1,1,0,-0.064342208526529,0,0
"51","233","211","21","2",0,0,33,0,1,1,1,5,2,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"52","233","211","21","2",0,1,70,0,0,2,1,4,2,0,1,1,1,1,0,1,0,0,0,1,0,0,-0.0643278286413472,0,0
"53","233","211","21","2",0,0,50,1,1,0,2,4,4,0,1,1,1,0,0,0,0,1,0,1,1,1,-0.186271509075415,0,0
"54","233","211","21","2",0,1,60,0,0,3,1,6,3,0,1,1,1,1,0,0,0,0,0,1,1,0,-0.064342208526529,0,0
"55","233","211","21","2",0,0,60,0,1,3,2,5,2,0,1,1,1,0,0,0,0,0,0,1,1,0,0.41964281637776,0,0
"56","234","211","21","2",0,0,47,0,1,1,1,7,4,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"57","234","211","21","2",0,1,64,1,0,1,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.507361968970515,0,0
"58","234","211","21","2",0,0,36,0,1,1,1,7,1,0,1,1,1,1,0,1,0,1,0,1,1,1,-1.05114651400776,0,0
"59","234","211","21","2",0,0,50,0,0,2,3,7,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"60","234","211","21","2",0,1,60,0,0,1,1,6,2,0,1,1,1,1,1,0,0,1,0,1,1,1,-0.94043554016747,0,0
"61","234","211","21","2",1,0,45,0,0,1,1,2,3,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"62","234","211","21","2",0,0,50,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"63","234","211","21","2",0,0,63,0,0,1,1,3,3,0,1,1,1,0,0,0,0,1,0,1,0,0,0.321344541403711,0,0
"64","234","211","21","2",0,0,40,0,0,1,1,6,1,0,1,1,1,1,0,1,0,1,0,1,1,0,-0.924434823441876,0,0
"65","234","211","21","2",0,0,40,1,0,0,1,1,3,0,1,1,1,1,0,1,0,1,0,0,0,1,-0.479442336510717,0,0
"66","234","211","21","2",0,1,80,0,0,2,0,2,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"67","234","211","21","2",0,0,60,0,0,3,0,4,4,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"68","234","211","21","2",0,0,50,1,0,1,1,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0.864635303308919,0,0
"69","234","211","21","2",0,0,40,0,1,1,1,5,2,0,1,1,1,1,0,0,0,1,0,1,1,1,-0.670256533979704,0,0
"70","234","211","21","2",0,0,37,0,0,1,1,6,1,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"71","234","211","21","2",0,0,48,1,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"73","234","211","21","2",0,0,50,1,0,1,1,2,1,0,1,1,1,1,0,1,0,1,0,0,1,0,-0.733635005858071,0,0
"74","234","211","21","2",0,0,40,0,0,1,1,4,2,0,1,1,1,1,0,0,0,1,0,1,0,1,-0.289352174066464,0,0
"75","234","211","21","2",0,0,70,1,0,0,2,5,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0.610442633961565,0,0
"76","235","211","21","2",0,0,40,0,0,1,1,6,2,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"77","235","211","21","2",0,1,60,0,0,1,2,8,3,0,1,1,1,1,0,0,0,0,0,0,0,1,0.38065027840463,0,0
"78","235","211","21","2",0,0,70,1,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.991346993874805,0,0
"79","235","211","21","2",0,0,34,0,1,1,1,5,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0.201620397793666,0,0
"80","235","211","21","2",0,0,45,0,1,2,1,7,2,0,1,1,1,1,0,1,0,1,0,1,0,0,-0.543530463528636,0,0
"81","235","211","21","2",0,0,60,0,0,1,1,6,2,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"82","235","211","21","2",0,0,35,0,0,1,1,4,2,0,1,1,1,1,0,0,0,1,0,1,0,0,-0.162640483500578,0,0
"83","235","211","21","2",0,0,70,0,0,1,1,2,1,0,1,1,1,0,0,0,0,1,0,1,1,0,-0.059559818509529,0,0
"84","240","211","21","2",0,1,60,0,0,1,1,4,2,0,1,1,1,1,0,1,0,1,0,1,0,0,-0.543530463528636,0,0
"85","235","211","21","2",1,0,65,0,0,1,1,6,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0.316562151386711,0,0
"86","235","211","21","2",1,0,30,0,0,1,1,4,1,0,1,1,1,1,0,0,0,0,0,1,1,0,-0.064342208526529,0,0
"87","240","211","21","2",1,0,32,0,0,1,1,6,2,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"88","240","211","21","2",0,0,30,0,0,1,1,5,2,0,1,1,1,1,0,0,0,1,0,1,1,0,-0.543544843413818,0,0
"89","240","211","21","2",0,1,58,0,0,2,1,9,2,0,1,1,0,1,0,1,0,1,0,1,1,0,-0.658472217121681,5000,1
"90","240","211","21","2",0,0,35,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.257309600195,0,0
"91","240","211","21","2",0,1,60,1,0,0,1,2,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0.397216985279652,0,0
